"PSComputerName","Name","LocalAccount","Domain","SID","SIDType","Caption","Description"
"DELLWIN10","Access Control Assistance Operators","True","DELLWIN10","S-1-5-32-579","4","DELLWIN10\Access Control Assistance Operators","Members of this group can remotely query authorization attributes and permissions for resources on this computer."
"DELLWIN10","Administrators","True","DELLWIN10","S-1-5-32-544","4","DELLWIN10\Administrators","Administrators have complete and unrestricted access to the computer/domain"
"DELLWIN10","Backup Operators","True","DELLWIN10","S-1-5-32-551","4","DELLWIN10\Backup Operators","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files"
"DELLWIN10","Cryptographic Operators","True","DELLWIN10","S-1-5-32-569","4","DELLWIN10\Cryptographic Operators","Members are authorized to perform cryptographic operations."
"DELLWIN10","Device Owners","True","DELLWIN10","S-1-5-32-583","4","DELLWIN10\Device Owners","Members of this group can change system-wide settings."
"DELLWIN10","Distributed COM Users","True","DELLWIN10","S-1-5-32-562","4","DELLWIN10\Distributed COM Users","Members are allowed to launch, activate and use Distributed COM objects on this machine."
"DELLWIN10","Event Log Readers","True","DELLWIN10","S-1-5-32-573","4","DELLWIN10\Event Log Readers","Members of this group can read event logs from local machine"
"DELLWIN10","Guests","True","DELLWIN10","S-1-5-32-546","4","DELLWIN10\Guests","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted"
"DELLWIN10","Hyper-V Administrators","True","DELLWIN10","S-1-5-32-578","4","DELLWIN10\Hyper-V Administrators","Members of this group have complete and unrestricted access to all features of Hyper-V."
"DELLWIN10","IIS_IUSRS","True","DELLWIN10","S-1-5-32-568","4","DELLWIN10\IIS_IUSRS","Built-in group used by Internet Information Services."
"DELLWIN10","Network Configuration Operators","True","DELLWIN10","S-1-5-32-556","4","DELLWIN10\Network Configuration Operators","Members in this group can have some administrative privileges to manage configuration of networking features"
"DELLWIN10","Performance Log Users","True","DELLWIN10","S-1-5-32-559","4","DELLWIN10\Performance Log Users","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer"
"DELLWIN10","Performance Monitor Users","True","DELLWIN10","S-1-5-32-558","4","DELLWIN10\Performance Monitor Users","Members of this group can access performance counter data locally and remotely"
"DELLWIN10","Power Users","True","DELLWIN10","S-1-5-32-547","4","DELLWIN10\Power Users","Power Users are included for backwards compatibility and possess limited administrative powers"
"DELLWIN10","Remote Desktop Users","True","DELLWIN10","S-1-5-32-555","4","DELLWIN10\Remote Desktop Users","Members in this group are granted the right to logon remotely"
"DELLWIN10","Remote Management Users","True","DELLWIN10","S-1-5-32-580","4","DELLWIN10\Remote Management Users","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"DELLWIN10","Replicator","True","DELLWIN10","S-1-5-32-552","4","DELLWIN10\Replicator","Supports file replication in a domain"
"DELLWIN10","System Managed Accounts Group","True","DELLWIN10","S-1-5-32-581","4","DELLWIN10\System Managed Accounts Group","Members of this group are managed by the system."
"DELLWIN10","Users","True","DELLWIN10","S-1-5-32-545","4","DELLWIN10\Users","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"DELLWIN10","__vmware__","True","DELLWIN10","S-1-5-21-282622394-918428586-1581471606-1004","4","DELLWIN10\__vmware__","VMware User Group"
