"PSComputerName","State","Status","Started","StartMode","Name","DisplayName","PathName","ExitCode","AcceptPause","AcceptStop","Caption","CreationClassName","Description","DesktopInteract","ErrorControl","InstallDate","ServiceType"
"2012DATA-DC1","Stopped","OK","False","Manual","1394ohci","1394 OHCI Compliant Host Controller","C:\Windows\system32\drivers\1394ohci.sys","1077","False","False","1394 OHCI Compliant Host Controller","Win32_SystemDriver","1394 OHCI Compliant Host Controller","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","3ware","3ware","C:\Windows\system32\drivers\3ware.sys","1077","False","False","3ware","Win32_SystemDriver","3ware","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Running","OK","True","Boot","ACPI","Microsoft ACPI Driver","C:\Windows\system32\drivers\ACPI.sys","0","False","True","Microsoft ACPI Driver","Win32_SystemDriver","Microsoft ACPI Driver","False","Critical",,"Kernel Driver"
"2012DATA-DC1","Running","OK","True","Boot","acpiex","Microsoft ACPIEx Driver","C:\Windows\system32\Drivers\acpiex.sys","0","False","True","Microsoft ACPIEx Driver","Win32_SystemDriver","Microsoft ACPIEx Driver","False","Critical",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","acpipagr","ACPI Processor Aggregator Driver","C:\Windows\system32\drivers\acpipagr.sys","1077","False","False","ACPI Processor Aggregator Driver","Win32_SystemDriver","ACPI Processor Aggregator Driver","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","AcpiPmi","ACPI Power Meter Driver","C:\Windows\system32\drivers\acpipmi.sys","1077","False","False","ACPI Power Meter Driver","Win32_SystemDriver","ACPI Power Meter Driver","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","acpitime","ACPI Wake Alarm Driver","C:\Windows\system32\drivers\acpitime.sys","1077","False","False","ACPI Wake Alarm Driver","Win32_SystemDriver","ACPI Wake Alarm Driver","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","adp94xx","adp94xx","C:\Windows\system32\drivers\adp94xx.sys","1077","False","False","adp94xx","Win32_SystemDriver","adp94xx","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","adpahci","adpahci","C:\Windows\system32\drivers\adpahci.sys","1077","False","False","adpahci","Win32_SystemDriver","adpahci","False","Normal",,"Kernel Driver"
"2012DATA-DC1","Stopped","OK","False","Manual","adpu320","adpu320","C:\Windows\system32\drivers\adpu320.sys","1077","False","False","adpu320","Win32_SystemDriver","adpu320","False","Normal",,"Kernel Driver"
